"src_schema","src_table","src_column","tgt_schema","tgt_table","tgt_pk","total_distinct_sampled","matched_on_parent","coverage","rel_exemplo"
"public","cmempres","tipoped","public","tipoped","tipoped","9","8","0.8889","cmempres[tipoped] -> tipoped[tipoped]"
"public","mdf","mdfnummdf","public","mdf","mdfcontmdf","5490","4880","0.8889","mdf[mdfnummdf] -> mdf[mdfcontmdf]"
"public","umpprodu","umpppedido","public","pedido","pedido","2334","2052","0.8792","umpprodu[umpppedido] -> pedido[pedido]"
"public","nfpedcmp","nfppedido","public","pedido","pedido","9082","7968","0.8773","nfpedcmp[nfppedido] -> pedido[pedido]"
"public","doctos","notpedido","public","pedido","pedido","8","7","0.8750","doctos[notpedido] -> pedido[pedido]"
"public","umpedfat","umpeunimed","public","unimed","unimedida","8","7","0.8750","umpedfat[umpeunimed] -> unimed[unimedida]"
"public","elemen","grele","public","grele","grele","7","6","0.8571","elemen[grele] -> grele[grele]"
"public","suimpos","suiestado","public","estado","estado","7","6","0.8571","suimpos[suiestado] -> estado[estado]"
"public","reqcomp","funciona","public","funciona","funciona","6","5","0.8333","reqcomp[funciona] -> funciona[funciona]"
"public","mdf","mdfmuncar","public","mdf","mdfcontmdf","43","35","0.8140","mdf[mdfmuncar] -> mdf[mdfcontmdf]"
"public","pedido","deposito","public","deposito","deposito","5","4","0.8000","pedido[deposito] -> deposito[deposito]"
"public","vlrel","elemen","public","elemen","elemen","5464","4342","0.7947","vlrel[elemen] -> elemen[elemen]"
"public","logdirei","logsenusu","public","logsen","logsenusu","152","120","0.7895","logdirei[logsenusu] -> logsen[logsenusu]"
"public","formfisc","fssgrupo","public","grupo","grupo","4","3","0.7500","formfisc[fssgrupo] -> grupo[grupo]"
"public","lajuracr","lajdplanoc","public","planoc","planoc","4","3","0.7500","lajuracr[lajdplanoc] -> planoc[planoc]"
"public","lajuracr","lajjplanoc","public","planoc","planoc","4","3","0.7500","lajuracr[lajjplanoc] -> planoc[planoc]"
"public","umfluxo","umbanco","public","banco","banco","4","3","0.7500","umfluxo[umbanco] -> banco[banco]"
"public","umnfcom1","umncestado","public","estado","estado","4","3","0.7500","umnfcom1[umncestado] -> estado[estado]"
"public","umrecban","umrbbanco","public","banco","banco","4","3","0.7500","umrecban[umrbbanco] -> banco[banco]"
"public","toqmovi","priunimed","public","unimed","unimedida","47","34","0.7234","toqmovi[priunimed] -> unimed[unimedida]"
"public","doctos","notespecie","public","especie","esdcodigo","7","5","0.7143","doctos[notespecie] -> especie[esdcodigo]"
"public","reqcomp","rqcunimed","public","unimed","unimedida","46","32","0.6957","reqcomp[rqcunimed] -> unimed[unimedida]"
"public","compra3","cmpunimed","public","unimed","unimedida","40","27","0.6750","compra3[cmpunimed] -> unimed[unimedida]"
"public","banco","banccusto","public","ccusto","ccusto","3","2","0.6667","banco[banccusto] -> ccusto[ccusto]"
"public","produto","proutrib","public","utrib","utribcod","3","2","0.6667","produto[proutrib] -> utrib[utribcod]"
"public","umnfcom2","umncbanco","public","banco","banco","3","2","0.6667","umnfcom2[umncbanco] -> banco[banco]"
"public","mdf","mdfcodtran","public","mdf","mdfcontmdf","117","76","0.6496","mdf[mdfcodtran] -> mdf[mdfcontmdf]"
"public","mdf","mdfcodcid","public","mdf","mdfcontmdf","43","27","0.6279","mdf[mdfcodcid] -> mdf[mdfcontmdf]"
